properties.ObjectId,properties.StopID,properties.PID,properties.actionTakenDuringStop,properties.personSearchConsentGiven,properties.propertySearchConsentGiven
36640,27608,1,Handcuffed or flex cuffed,NULL,NULL
36641,27684,1,Curbside detention,NULL,NULL
36642,27822,1,None,NULL,NULL
36643,27583,1,Curbside detention,NULL,NULL
36644,27728,1,Curbside detention,NULL,NULL
36645,27783,1,None,NULL,NULL
36646,27644,1,None,NULL,NULL
36647,27719,1,None,NULL,NULL
36648,27608,1,Patrol car detention,NULL,NULL
36649,27684,1,Search of person was conducted,NULL,NULL
36650,27823,1,None,NULL,NULL
36651,27583,1,Handcuffed or flex cuffed,NULL,NULL
36652,27728,1,Handcuffed or flex cuffed,NULL,NULL
36653,27784,1,None,NULL,NULL
36654,27645,1,None,NULL,NULL
36655,27720,1,None,NULL,NULL
36656,27608,1,Search of person was conducted,NULL,NULL
36657,27685,1,Curbside detention,NULL,NULL
36658,27824,1,Patrol car detention,NULL,NULL
36659,27583,1,Patrol car detention,NULL,NULL
36660,27728,1,Search of person was conducted,NULL,NULL
36661,27785,1,None,NULL,NULL
36662,27646,1,None,NULL,NULL
36663,27721,1,None,NULL,NULL
36664,27608,2,Asked for consent to search person,TRUE,NULL
36665,27685,1,Search of person was conducted,NULL,NULL
36666,27824,1,Search of person was conducted,NULL,NULL
36667,27583,1,Search of person was conducted,NULL,NULL
36668,27728,1,Search of property was conducted,NULL,NULL
36669,27786,1,None,NULL,NULL
36670,27647,1,None,NULL,NULL
36671,27722,1,Curbside detention,NULL,NULL
36672,27608,2,Handcuffed or flex cuffed,NULL,NULL
36673,27686,1,None,NULL,NULL
36674,27825,1,None,NULL,NULL
36675,27584,1,Handcuffed or flex cuffed,NULL,NULL
36676,27729,1,None,NULL,NULL
36677,27787,1,Curbside detention,NULL,NULL
36678,27648,1,None,NULL,NULL
36679,27649,1,Asked for consent to search person,TRUE,NULL
36680,27649,1,Curbside detention,NULL,NULL
36681,27650,1,None,NULL,NULL
36682,27651,1,None,NULL,NULL
36683,27652,1,None,NULL,NULL
36684,27653,1,None,NULL,NULL
36685,27654,1,None,NULL,NULL
36686,27722,1,Property was seized,NULL,NULL
36687,27826,1,None,NULL,NULL
36688,27730,1,None,NULL,NULL
36689,27687,1,None,NULL,NULL
36690,27584,1,Patrol car detention,NULL,NULL
36691,27608,2,Patrol car detention,NULL,NULL
36692,27787,1,Search of person was conducted,NULL,NULL
36693,27722,1,Search of person was conducted,NULL,NULL
36694,27731,1,Asked for consent to search property,NULL,NULL
36695,27688,1,None,NULL,NULL
36696,27584,1,Search of person was conducted,NULL,NULL
36697,27608,2,Search of person was conducted,NULL,NULL
36698,27788,1,None,NULL,NULL
36699,27722,2,Asked for consent to search person,NULL,NULL
36700,27731,1,Person removed from vehicle by order,NULL,NULL
36701,27689,1,None,NULL,NULL
36702,27585,1,Asked for consent to search person,TRUE,NULL
36703,27609,1,Asked for consent to search person,TRUE,NULL
36704,27789,1,None,NULL,NULL
36705,27722,2,Curbside detention,NULL,NULL
36706,27732,1,Curbside detention,NULL,NULL
36707,27690,1,Asked for consent to search person,TRUE,NULL
36708,27585,1,Patrol car detention,NULL,NULL
36709,27609,1,Patrol car detention,NULL,NULL
36710,27790,1,None,NULL,NULL
36711,27722,2,Search of person was conducted,NULL,NULL
36712,27734,1,None,NULL,NULL
36713,27690,1,Person removed from vehicle by order,NULL,NULL
36714,27585,2,Asked for consent to search person,TRUE,NULL
36715,27610,1,None,NULL,NULL
36716,27791,1,None,NULL,NULL
36717,27722,3,Curbside detention,NULL,NULL
36718,27734,2,None,NULL,NULL
36719,27691,1,None,NULL,NULL
36720,27585,2,Patrol car detention,NULL,NULL
36721,27610,2,None,NULL,NULL
36722,27792,1,None,NULL,NULL
36723,27722,3,Property was seized,NULL,NULL
36724,27735,1,None,NULL,NULL
36725,27692,1,None,NULL,NULL
36726,27586,1,Handcuffed or flex cuffed,NULL,NULL
36727,27610,3,None,NULL,NULL
36728,27793,1,Physical or Vehicle contact,NULL,NULL
36729,27722,3,Search of person was conducted,NULL,NULL
36730,27736,1,None,NULL,NULL
36731,27693,1,None,NULL,NULL
36732,27586,1,Patrol car detention,NULL,NULL
36733,27610,4,None,NULL,NULL
36734,27794,1,None,NULL,NULL
36735,27723,1,Curbside detention,NULL,NULL
36736,27737,1,Curbside detention,NULL,NULL
36737,27694,1,Asked for consent to search person,NULL,NULL
36738,27586,1,Search of person was conducted,NULL,NULL
36739,27610,5,None,NULL,NULL
36740,27723,2,Curbside detention,NULL,NULL
36741,27738,1,None,NULL,NULL
36742,27694,1,Curbside detention,NULL,NULL
36743,27587,1,None,NULL,NULL
36744,27611,1,None,NULL,NULL
36745,27739,1,Curbside detention,NULL,NULL
36746,27588,1,Asked for consent to search person,TRUE,NULL
36747,27612,1,Curbside detention,NULL,NULL
36748,27740,1,Curbside detention,NULL,NULL
36749,27588,1,Asked for consent to search property,NULL,TRUE
36750,27740,1,Search of person was conducted,NULL,NULL
36751,27588,1,Curbside detention,NULL,NULL
36752,27741,1,Handcuffed or flex cuffed,NULL,NULL
36753,27588,1,Person removed from vehicle by order,NULL,NULL
36754,27741,1,Search of person was conducted,NULL,NULL
36755,27588,2,Asked for consent to search person,TRUE,NULL
36756,27742,1,Asked for consent to search person,TRUE,NULL
36757,27588,2,Asked for consent to search property,NULL,TRUE
36758,27742,1,Person removed from vehicle by order,NULL,NULL
36759,27588,2,Curbside detention,NULL,NULL
36760,27588,2,Person removed from vehicle by order,NULL,NULL
