properties.ObjectId,properties.StopID,properties.PID,properties.basisForPropertySeizure
1172,6605,1,NULL
1173,6562,1,NULL
1174,6606,1,NULL
1175,6563,1,NULL
1176,6607,1,NULL
1177,6564,1,NULL
1178,6608,1,NULL
1179,6565,1,NULL
1180,6609,1,NULL
1181,6565,2,NULL
1182,6610,1,NULL
1183,6566,1,NULL
1184,6566,2,NULL
1185,6567,1,NULL
1186,6568,1,NULL
1187,6569,1,NULL
1188,6570,1,NULL
1189,6571,1,NULL
1190,6572,1,NULL
1191,6611,1,NULL
1192,6611,2,NULL
1193,6611,3,NULL
1194,6611,4,NULL
1195,6612,1,NULL
1196,6613,1,NULL
1197,6615,1,NULL
1198,6616,1,NULL
1199,6617,1,NULL
1200,6618,1,NULL
1201,6943,2,NULL
1202,6944,1,NULL
1203,6945,1,NULL
1204,6946,1,NULL
1205,6947,1,Evidence
1206,6948,1,NULL
1207,6949,1,NULL
1208,6950,1,NULL
1209,6951,1,NULL
1210,6952,1,NULL
1211,6953,1,NULL
1212,6953,2,NULL
1213,6953,3,NULL
1214,6954,1,NULL
1215,6955,1,NULL
1216,6956,1,Evidence
1217,6956,2,NULL
1218,6956,3,NULL
1219,6957,1,NULL
1220,6958,1,NULL
1221,6959,1,NULL
1222,6960,1,NULL
