,StopID,PID,Action_Admission or written statement obtained from student,Action_Asked for consent to search person,Action_Asked for consent to search property,Action_Baton or other impact weapon used,Action_Canine bit or held person,Action_Canine removed from vehicle or used to search,Action_Chemical spray used,Action_Curbside detention,Action_Electronic control device used,Action_Field sobriety test conducted,Action_Firearm pointed at person,Action_Handcuffed or flex cuffed,Action_Impact projectile discharged or used,Action_Patrol car detention,Action_Person photographed,Action_Person removed from vehicle by order,Action_Person removed from vehicle by physical contact,Action_Physical or Vehicle contact,Action_Property was seized,Action_Search of person was conducted,Action_Search of property was conducted,Action_Vehicle impounded,personSearchConsentGiven,propertySearchConsentGiven
18907,22967,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
18908,22968,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18909,22969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18910,22970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18911,22971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18912,22972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18913,22973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18914,22974,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18915,22975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18916,22976,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18917,22977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18918,22978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18919,22979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18920,22980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18921,22981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
